key,src,size,dram,oscm,osc,dl,total
1048576B/key365,2,1048576,65,1280,0,729608,731580
1048576B/key366,2,1048576,64,1228,0,639269,641176
1048576B/key367,2,1048576,58,1378,0,665057,667152
1048576B/key368,2,1048576,92,1436,0,616537,618756
1048576B/key369,2,1048576,70,1234,0,606427,608297
1048576B/key370,2,1048576,63,1241,0,671905,679568
1048576B/key371,2,1048576,3305,1476,0,770416,776074
1048576B/key372,2,1048576,65,1740,0,670818,673318
1048576B/key373,2,1048576,66,1358,0,608858,611429
1048576B/key374,2,1048576,65,1275,0,455642,457555
1048576B/key375,2,1048576,62,1267,0,494038,495936
1048576B/key376,2,1048576,64,1268,0,472398,474316
1048576B/key377,2,1048576,64,1306,0,616607,618550
1048576B/key378,2,1048576,61,1257,0,602961,604884
1048576B/key379,2,1048576,63,1319,0,648418,650524
1048576B/key380,2,1048576,65,1245,0,675648,677570
1048576B/key381,2,1048576,63,1270,0,661375,663315
1048576B/key382,2,1048576,64,1255,0,594557,596504
1048576B/key383,2,1048576,58,1213,0,669472,671404
1048576B/key384,2,1048576,88,1438,0,598604,600824
1048576B/key385,2,1048576,57,1159,0,600025,601794
1048576B/key386,2,1048576,75,1173,0,603284,605096
1048576B/key387,2,1048576,63,1183,0,675994,677701
1048576B/key388,2,1048576,58,1161,0,607200,608869
1048576B/key389,2,1048576,64,1175,0,689704,691691
1048576B/key390,2,1048576,96,1455,0,653417,655660
1048576B/key391,2,1048576,73,1224,0,614094,615872
1048576B/key392,2,1048576,71,1283,0,680911,683304
1048576B/key393,2,1048576,76,1426,0,661239,663467
1048576B/key394,2,1048576,62,1444,0,455764,457858
1048576B/key395,2,1048576,61,1298,0,417622,419565
1048576B/key396,2,1048576,69,1184,0,411059,412884
1048576B/key397,2,1048576,58,1200,0,587693,589536
1048576B/key398,2,1048576,63,1157,0,598817,600634
1048576B/key399,2,1048576,60,1212,0,665774,667855
1048576B/key400,2,1048576,65,1270,0,652363,654429
1048576B/key401,2,1048576,85,1214,0,667526,669424
1048576B/key402,2,1048576,68,1224,0,655627,657492
1048576B/key403,2,1048576,60,1198,0,664850,666721
1048576B/key404,2,1048576,68,1294,0,630584,632534
1048576B/key405,2,1048576,60,1347,0,675822,677828
1048576B/key406,2,1048576,58,1249,0,605897,607810
1048576B/key407,2,1048576,59,1284,0,663988,665934
1048576B/key408,2,1048576,62,1285,0,621002,623108
1048576B/key409,2,1048576,81,1429,0,613508,615713
1048576B/key410,2,1048576,73,1341,0,653930,655938
1048576B/key411,2,1048576,62,1299,0,611613,613583
1048576B/key412,2,1048576,58,1257,0,601041,603342
1048576B/key413,2,1048576,79,1390,0,779860,781960
1048576B/key414,2,1048576,65,1341,0,457223,459186
1048576B/key415,2,1048576,62,1127,0,406164,407957
1048576B/key416,2,1048576,87,1559,0,404804,407090
1048576B/key417,2,1048576,62,1210,0,586955,588795
1048576B/key418,2,1048576,69,1270,0,675644,677533
1048576B/key419,2,1048576,82,1228,0,631940,633787
1048576B/key420,2,1048576,62,1276,0,623755,625626
1048576B/key421,2,1048576,67,1265,0,718387,720258
1048576B/key422,2,1048576,56,1263,0,659868,661766
1048576B/key423,2,1048576,58,1233,0,623836,625683
1048576B/key424,2,1048576,57,1300,0,672733,674637
1048576B/key425,2,1048576,67,1252,0,1142974,1144909
1048576B/key426,2,1048576,68,1229,0,653795,655682
1048576B/key427,2,1048576,63,1217,0,864056,866027
1048576B/key428,2,1048576,59,1270,0,730324,732226
1048576B/key429,2,1048576,65,1312,0,653387,655342
1048576B/key430,2,1048576,68,1173,0,697597,699603
1048576B/key431,2,1048576,87,1504,0,665428,667830
1048576B/key432,2,1048576,81,1416,0,1623142,1625346
1048576B/key433,2,1048576,62,1266,0,735348,737158
1048576B/key434,2,1048576,63,1258,0,581212,582986
1048576B/key435,2,1048576,63,1224,0,603764,605546
1048576B/key436,2,1048576,65,1137,0,590781,592446
1048576B/key437,2,1048576,62,1290,0,588425,590290
1048576B/key438,2,1048576,64,1267,0,655617,657455
1048576B/key439,2,1048576,59,1223,0,656902,658643
1048576B/key440,2,1048576,58,1193,0,688664,690395
1048576B/key441,2,1048576,66,1218,0,1513026,1515594
1048576B/key442,2,1048576,80,1457,0,633735,636141
1048576B/key443,2,1048576,76,1369,0,667996,669992
1048576B/key444,2,1048576,66,1342,0,682218,684163
1048576B/key445,2,1048576,69,1297,0,678002,679960
1048576B/key446,2,1048576,68,1307,0,681653,683965
1048576B/key447,2,1048576,78,1464,0,669194,671592
1048576B/key448,2,1048576,92,1454,0,674938,677111
1048576B/key449,2,1048576,68,1234,0,406443,408206
1048576B/key450,2,1048576,63,1219,0,503118,504918
1048576B/key451,2,1048576,61,1300,0,494215,496061
1048576B/key452,2,1048576,65,1276,0,829752,831648
1048576B/key453,2,1048576,69,1273,0,679395,681218
1048576B/key454,2,1048576,67,1250,0,612149,614025
1048576B/key455,2,1048576,62,1180,0,610918,612655
1048576B/key456,2,1048576,64,1181,0,691160,692919
1048576B/key457,2,1048576,62,1248,0,602677,604501
1048576B/key458,2,1048576,69,1224,0,657355,659324
1048576B/key459,2,1048576,65,1270,0,601206,603037
1048576B/key460,2,1048576,65,1300,0,669964,672007
1048576B/key461,2,1048576,77,1294,0,626968,629011
